14:05:44 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:06:04 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:06:04 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:06:24 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:06:24 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:06:44 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:06:44 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:07:05 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:07:05 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:07:25 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:07:25 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:07:45 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:07:45 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:08:05 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:08:05 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:08:25 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:08:25 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:08:45 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:08:46 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:09:06 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:09:06 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:09:26 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:09:26 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:09:46 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:09:46 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:10:06 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:10:06 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:10:26 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:10:26 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:10:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:10:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:11:07 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:11:07 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:11:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:11:27 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:11:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
